fecha,comuna,amb_1,amb_2,amb_3,amb_4mas,usados,estrenar
2022,total_caba,21.4,41.6,26.5,10.5,90.4,9.6
2022,1,27.0,36.3,25.3,11.4,93.0,7.0
2022,2,18.4,36.4,26.7,18.4,94.2,5.8
2022,3,21.3,44.6,26.3,7.8,91.5,8.5
2022,4,20.4,42.9,27.7,9.0,91.3,8.7
2022,5,21.3,41.5,29.6,7.6,89.8,10.2
2022,6,16.1,44.0,28.9,11.0,92.5,7.5
2022,7,23.5,40.9,26.5,9.0,84.5,15.5
2022,8,0.0,0.0,0.0,0.0,0.0,0.0
2022,9,21.8,49.5,24.5,4.2,88.9,11.1
2022,10,24.9,43.4,26.0,5.7,88.3,11.7
2022,11,23.6,46.5,23.3,6.5,85.4,14.6
2022,12,22.9,49.4,22.5,5.2,88.6,11.4
2022,13,17.6,38.7,28.7,15.1,92.0,8.0
2022,14,20.8,37.5,27.5,14.2,90.9,9.1
2022,15,26.3,41.9,24.2,7.6,89.7,10.3
2021,total_caba,27.5,44.6,20.2,7.6,92.4,7.6
2021,1,31.7,39.2,20.1,9.0,93.8,6.2
2021,2,27.1,36.8,24.3,11.8,95.3,4.7
2021,3,27.7,47.7,19.8,4.8,90.3,9.7
2021,4,22.0,48.2,25.1,4.8,93.2,6.8
2021,5,31.5,46.1,18.8,3.6,90.9,9.1
2021,6,21.3,48.9,21.4,8.4,93.4,6.6
2021,7,24.1,49.1,19.8,7.1,91.8,8.2
2021,8,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,26.4,54.4,18.1,1.1,92.3,7.7
2021,10,27.5,48.0,16.8,7.7,90.4,9.6
2021,11,28.1,47.5,19.0,5.5,94.4,5.6
2021,12,33.8,47.1,15.3,3.8,90.6,9.4
2021,13,22.2,45.1,22.5,10.1,92.2,7.8
2021,14,26.5,44.7,20.6,8.2,91.8,8.2
2021,15,32.3,47.3,14.8,5.5,90.2,9.8
2020,total_caba,21.2,44.2,24.8,9.8,89.8,10.2
2020,1,25.1,43.6,20.9,10.3,91.0,9.0
2020,2,20.8,33.0,27.6,18.6,96.6,3.4
2020,3,23.5,45.3,23.2,8.0,93.2,6.8
2020,4,18.0,41.8,29.6,10.6,93.1,6.9
2020,5,18.5,45.4,26.9,9.2,92.5,7.5
2020,6,15.9,46.7,26.4,11.0,91.4,8.6
2020,7,24.9,44.5,22.5,8.0,77.5,22.5
2020,8,0.0,0.0,0.0,0.0,0.0,0.0
2020,9,23.0,40.2,32.8,4.0,86.2,13.8
2020,10,20.5,50.0,23.6,5.9,82.9,17.1
2020,11,25.2,45.9,22.8,6.1,87.1,12.9
2020,12,23.8,53.2,18.1,4.9,85.6,14.4
2020,13,14.6,45.4,27.9,12.0,92.3,7.7
2020,14,20.1,39.2,29.4,11.3,94.1,5.9
2020,15,28.0,48.1,17.1,6.8,83.6,16.4
2019,total_caba,20.8,43.7,25.6,9.9,91.0,9.0
2019,1,23.8,38.9,25.9,11.5,92.6,7.4
2019,2,23.4,31.7,30.2,14.6,94.9,5.1
2019,3,19.5,47.7,24.1,8.7,94.6,5.4
2019,4,19.1,45.5,26.4,9.0,89.5,10.5
2019,5,23.7,45.9,21.9,8.5,92.9,7.1
2019,6,14.5,50.2,24.5,10.8,91.8,8.2
2019,7,18.2,46.5,26.3,9.1,90.3,9.7
2019,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,9,22.3,48.1,23.8,5.7,81.3,18.7
2019,10,23.9,46.8,21.8,7.5,84.3,15.7
2019,11,19.0,48.6,26.0,6.5,90.8,9.2
2019,12,27.2,46.0,21.5,5.3,86.4,13.6
2019,13,14.9,43.9,29.0,12.1,92.1,7.9
2019,14,20.2,41.1,26.6,12.1,91.9,8.1
2019,15,26.9,46.4,20.2,6.5,88.0,12.0
2018,total_caba,20.4,44.5,25.0,10.1,88.4,11.6
2018,1,23.9,42.0,23.7,10.4,88.2,11.8
2018,2,21.9,34.5,29.4,14.3,92.1,7.9
