fecha,comuna,amb_1,amb_2,amb_3,amb_4mas,usados,estrenar
2022,total_caba,16.0,33.8,31.6,18.6,78.7,21.3
2022,1,19.5,31.9,30.9,17.7,88.1,11.9
2022,2,14.2,26.3,29.3,30.2,88.4,11.6
2022,3,17.0,33.4,32.3,17.3,89.0,11.0
2022,4,12.7,33.2,38.8,15.2,83.3,16.7
2022,5,16.9,36.0,32.5,14.7,79.0,21.0
2022,6,11.0,31.6,33.3,24.1,79.6,20.4
2022,7,13.8,32.3,33.8,20.1,77.1,22.9
2022,8,3.0,19.1,56.2,21.7,87.6,12.4
2022,9,15.2,36.9,36.5,11.5,63.7,36.3
2022,10,17.3,38.5,31.0,13.2,70.4,29.6
2022,11,15.1,36.4,33.4,15.1,71.5,28.5
2022,12,18.2,40.1,30.8,10.9,70.3,29.7
2022,13,13.0,32.2,31.8,23.0,78.8,21.2
2022,14,17.7,32.9,28.1,21.3,77.9,22.1
2022,15,21.6,38.0,28.1,12.3,73.3,26.7
2021,total_caba,17.3,34.4,31.0,17.3,77.8,22.2
2021,1,21.4,32.3,29.4,16.9,87.6,12.4
2021,2,15.3,26.2,30.0,28.5,88.0,12.0
2021,3,18.2,32.9,31.7,17.2,89.0,11.0
2021,4,13.7,33.4,38.0,14.8,83.1,16.9
2021,5,17.5,37.4,31.7,13.4,78.0,22.0
2021,6,11.9,33.3,33.7,21.1,76.8,23.2
2021,7,16.3,33.1,32.1,18.5,73.2,26.8
2021,8,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,15.4,37.9,35.0,11.7,61.6,38.4
2021,10,19.2,39.2,29.5,12.1,67.7,32.3
2021,11,16.3,36.1,34.3,13.4,73.5,26.5
2021,12,19.4,40.3,30.2,10.1,69.7,30.3
2021,13,14.4,33.3,31.1,21.2,77.4,22.6
2021,14,19.2,34.8,27.5,18.4,78.2,21.8
2021,15,22.7,37.7,27.7,11.9,71.3,28.7
2020,total_caba,16.7,33.3,30.5,19.5,74.2,25.8
2020,1,18.7,31.3,29.0,20.9,85.6,14.4
2020,2,14.0,23.4,28.6,34.0,85.4,14.6
2020,3,18.0,33.2,30.6,18.2,83.5,16.5
2020,4,12.0,33.0,39.5,15.5,83.1,16.9
2020,5,17.4,37.2,30.7,14.7,73.4,26.6
2020,6,12.9,31.5,32.3,23.2,71.9,28.1
2020,7,15.8,32.6,31.3,20.2,69.2,30.8
2020,8,0.0,0.0,0.0,0.0,0.0,0.0
2020,9,14.2,36.4,36.3,13.1,54.8,45.2
2020,10,18.3,39.4,30.1,12.1,63.5,36.5
2020,11,15.7,35.0,34.8,14.4,71.2,28.8
2020,12,19.8,39.2,30.2,10.8,65.1,34.9
2020,13,14.9,32.1,29.5,23.6,74.8,25.2
2020,14,17.6,32.8,27.6,22.0,74.0,26.0
2020,15,21.6,37.6,27.2,13.7,68.3,31.7
2019,total_caba,17.9,32.9,30.1,19.0,64.8,35.2
2019,1,22.4,30.8,27.7,19.1,74.9,25.1
